Event Venue Name,Event Organizer Name,Event Name,Event Start Date,Event Start Time,Event End Date,Event Description,Timezone
Dolans Pub,Bad Reputation IRL,The Black Dahlia Murder - Dolans Warehouse Limerick - 08/04/19,2019-04-08,19:00:00,2019-04-08,Bad Reputation IRL  by Arrangement With UTA presents:  The Black Dahlia Murder & Guests  Monday 8th April 2019 Dolans Warehouse Dolans Limerick Doors: 8pm Tickets: €20 (inc booking fee) On sale from Tuesday 20th Nov 2018 www.dolans.ie & www.ticketmaster.ie  https://www.facebook.com/events/255782978428353/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,The Black Dahlia Murder - Dublin - 7th April 2019,2019-04-07,17:30:00,2019-04-07,DME By Arrangement With UTA Presents  The Black Dahlia Murder Plus Guests  Voodoo Lounge Dublin Sunday 7th April 2019 6.30pm - 18+ €20 inc bkg fee from www.ticketmaster.ie & outlets nationwide www.tickets.ie & Sound Cellar  www.dme-promotions.com  https://www.facebook.com/events/574600189656295/,Europe/Dublin
Vicar Street,Aiken Promotions,IDLES + Crows | Vicar Street Dublin,2019-04-02,18:30:00,2019-04-02,IDLES + Crows Vicar Street Dublin 2nd April 2019   Tickets €22.90 go on sale this Friday at 9am!  After a wrapping up sell-out UK and US tours IDLES have confirmed a 2019 world tour headlining their biggest venues yet. The run will include a headline show at The Belfast Empire 1st April 2019 and Vicar Street Dublin 2nd April 2019.  Tickets go on public sale this Friday Nov 9th at 9AM local time with tickets available at www.idlesband.com.  IDLES’ new record 'Joy As An Act Of Resistance' debuted at no.5 in the UK charts breaking Rough Trade’s all-time record for most pre-orders and sales in day. It is currently the no.1 best reviewed record of 2018 (average rating of 88 across 25 reviews) at Album Of The Year and in the Top 10 on Metacritic.   The band saw not only singles but the album itself A-listed at 6 Music and earned major features amongst others with the likes of Q Mojo The Guardian and covers with DIY Loud & Quiet So Young and NME. They’ve arrived internationally too with only last week NPR Music declaring “I am an IDLES addict. It's like mainlining an uplifting and unifying assault on nationalism racism intolerance and class inequality.”   The band won Best Breakthrough at the Q Awards last month following their Jools Holland debut which NME called “history in the making…incomparably brilliant” likening it to Arctic Monkeys and Kanye West's first appearances on the show.   Selected praise for IDLES:  “No hyperbole needed; IDLES are the most important band we have right now." - DIY Magazine (cover story)  “Everything about Joy As An Act Of Resistance is just so perfectly realised. An instant classic one that people will turn to in times of need for years to come.” 10/10 NME  “This album is a heart-breaking but jubilant exploration of joy honesty fragility and expression as our most powerful means of human resistance.”  9/10 Classic Rock  “IDLES have released the most relevant and at times gut wrenching album of the year.” Drowned In Sound  “IDLES make sense of modern chaos on the utterly essential Joy as an Act of Resistance.” The Line Of Best Fit  “Idles take their rightful place as not Britain’s nor Europe’s but the world’s most vital band. It’s a fist-clenched celebration of the full spectrum of phenomena - inexplicable crushing and totally joyous - that divides and unites us all.” The Quietus  “IDLES deliver a thunderous and sharp state-of-the-nation address.” The 405  http://www.idlesband.com/  https://www.facebook.com/idlesband/  https://twitter.com/idlesband  https://www.instagram.com/idlesband/  https://www.facebook.com/events/687920031608626/,Europe/Dublin
The Belfast Empire,Aiken Promotions,SOLD OUT - IDLES + Crows | The Belfast Empire,2019-04-01,18:30:00,2019-04-01,IDLES + Crows The Belfast Empire  1st April 2019   Tickets £19.50 go on sale this Friday at 9am!  After a wrapping up sell-out UK and US tours IDLES have confirmed a 2019 world tour headlining their biggest venues yet. The run will include a headline show at The Belfast Empire 1st April 2019 and Vicar Street Dublin 2nd April 2019.  Tickets go on public sale this Friday Nov 9th at 9AM local time with tickets available at www.idlesband.com.  IDLES’ new record 'Joy As An Act Of Resistance' debuted at no.5 in the UK charts breaking Rough Trade’s all-time record for most pre-orders and sales in day. It is currently the no.1 best reviewed record of 2018 (average rating of 88 across 25 reviews) at Album Of The Year and in the Top 10 on Metacritic.   The band saw not only singles but the album itself A-listed at 6 Music and earned major features amongst others with the likes of Q Mojo The Guardian and covers with DIY Loud & Quiet So Young and NME. They’ve arrived internationally too with only last week NPR Music declaring “I am an IDLES addict. It's like mainlining an uplifting and unifying assault on nationalism racism intolerance and class inequality.”   The band won Best Breakthrough at the Q Awards last month following their Jools Holland debut which NME called “history in the making…incomparably brilliant” likening it to Arctic Monkeys and Kanye West's first appearances on the show.   Selected praise for IDLES:  “No hyperbole needed; IDLES are the most important band we have right now." - DIY Magazine (cover story)  “Everything about Joy As An Act Of Resistance is just so perfectly realised. An instant classic one that people will turn to in times of need for years to come.” 10/10 NME  “This album is a heart-breaking but jubilant exploration of joy honesty fragility and expression as our most powerful means of human resistance.”  9/10 Classic Rock  “IDLES have released the most relevant and at times gut wrenching album of the year.” Drowned In Sound  “IDLES make sense of modern chaos on the utterly essential Joy as an Act of Resistance.” The Line Of Best Fit  “Idles take their rightful place as not Britain’s nor Europe’s but the world’s most vital band. It’s a fist-clenched celebration of the full spectrum of phenomena - inexplicable crushing and totally joyous - that divides and unites us all.” The Quietus  “IDLES deliver a thunderous and sharp state-of-the-nation address.” The 405  http://www.idlesband.com/  https://www.facebook.com/idlesband/  https://twitter.com/idlesband  https://www.instagram.com/idlesband/  https://www.facebook.com/events/632009207195615/,Europe/Dublin
On The Rox,DME Promotions,Cellar Darling - On The Rox Dublin - 29th March 2019,2019-03-29,19:00:00,2019-03-29,DME By Arrangement With K2 Presents  Cellar Darling Plus Guests  On The Rox Dublin Friday 29th March 2019 7pm - 18+ €16 inc bkg fee - on sale 29th June 10am  www.dme-promotions.com  https://www.facebook.com/events/1700434493385959/,Europe/Dublin
Audio Glasgow,Audio Glasgow,Cellar Darling - 28th March 2019 | Audio Glasgow,2019-03-28,18:30:00,2019-03-28,Cellar Darling + Guests  28th March 2019 Audio Glasgow | 14 Midland St | G1 4PP 6.30PM | 16+ |  £12.50adv  Tickets on sale Friday 29th June from www.tickets-scotland.com or Tickets Scotland Argyle St Glasgow & Rose St Edinburgh.  https://www.facebook.com/events/268721893703326/,Europe/Dublin
Cyprus Avenue,Eventbrite,Therapy?,2019-03-23,19:30:00,2019-03-23,Andy Cairns tells a great story about Therapy?’s spring UK tour with The Stranglers. As the trio walked onstage in Kilmarnock Scotland their frontman noticed a solitary punter three rows from the front vigorously booing his band before a single amplified guitar chord had been struck. Each successive song in the set received the same vociferous relentlessly hostile response. Two nights later at Nottingham Rock City the antagonist was back once more front and centre still booing though with markedly less enmity than before. In Manchester on the final night of the campaign Cairns stepped from his tour bus to be confronted again by the by-now-familiar face of his new nemesis. This time however the guy was clutching a pen and a copy of Therapy?’s classic 1994 album Troublegum. “Could you sign this for me please?” he asked politely.  “I think we’d battered him into submission” Cairns says with a laugh.  It’s an instructive anecdote both a testament to Therapy?’s enduring capacity to win over hearts and minds with their singular sui generis sound and a reminder in a broader sense that even in the face of alienation disaffection and discord there remains hope for consensus harmony and solidarity.   Which brings us neatly to Therapy?’s fifteenth studio album Cleave. Roughly themed around notions of duality and division the band’s follow-up to 2015’s acclaimed Disquiet - and their first recording for new label Marshall Records – is a sharply focused fiercely intelligent impassioned and empowering set of songs from a band operating at a creative and artistic peak. A scathing incisive state-of-the-nation address investigating the schisms in contemporary society and the motivations of those seeking to propagate disjuncture it’s a powerful challenging uncompromising collection from a band never afraid to confront and dissect humanity’s darkest impulses.  https://www.facebook.com/events/460206744507522/,Europe/Dublin
The Academy,DME Promotions,Overkill - Destruction - Flotsam & Jetsam Dublin 23.3.19,2019-03-23,17:30:00,2019-03-23,Killfest 2019 featuring Overkill Destruction Flotsam and Jetsam & MESHIAAK will come to Dublin's The Academy on Saturday 23rd March 2019! Tickets €35 inc bkg fee on sale Friday 6th July @ 10am.  Legendary New Jersey thrashers OVERKILL released their latest live album titled »Live In Overhausen« on May 18th 2018 through Nuclear Blast.  Today the band are pleased to announce an extended European tour for March 2019 in support of their upcoming untitled new studio album. OVERKILL will be joining forces with the German cult thrash metal band and label mates DESTRUCTION legendary thrash metallers FLOTSAM & JETSAM and up and coming Australian thrash squad MESHIAAK for the »KILLFEST TOUR 2019« .  Commented OVERKILL vocalist Bobby Blitz: "ONE MORE FUCKING TIME! Let the the shit fall away and the metal rule the day. Overkill comes to Europe in march 2019 on the release of the new album. So get your necks ready boys and girls it's going to be dangerous!"  Schmier from DESTRUCTION adds: „Touring with some of the most influential American Thrash icons is always a pleasure. We became good friends over all those years I'm happy we are ALL still around and we can thrash Europe together. Also some of the Australian boys from MESHIAAK have toured with us Down Under before with their predecessor band 4 ARM. What an intense family-reunion…hahaha!  This is undoubtedly a killer package for the enthusiastic European metal fans for sure - we will present DESTRUCTION in fantastic form and with a terrific new drummer! „  KILLFEST TOUR 2019 OVERKILL DESTRUCTION FLOTSAM & JETSAM MESHIAAK  08.03. IT Bologna - Zona Roveri 09.03. IT Bergamo Palosco - Acradia 10.03. DE München - Backstage 14.03. DE Berlin - Columbia Theater 16.03. DE Osnabrück - Hyde Park 17.03. DE Frankfurt - Batschkapp 20.03. FR Paris - Trabendo 21.03. UK London - O2 Academy 22.03. UK Hammerfest 23.03. IR Dublin - Academy 24.03. UK Glasgow - SWG3  More shows will be announced soon....  https://www.facebook.com/events/216599992495163/,Europe/Dublin
The Underground,Alive in Dublin,The Angry Agenda & United Bottles,2019-03-23,00:00:00,2019-03-23,This is going to be another super night of Street Punk Rock n Roll music in Dublin city. It will also be another first trip into town and this time for Watfords's The Angry Agenda. They delivered fine sets at Blackpool's Rebellion Festival for the past couple of years and are also ripping up venues across the UK. All on the back of two  fantastic albums. These guys really produce the goods live and we are excited to have them coming over. This will be a chance to catch them do their thing in a small tight perfect punk rock venue in the city center. We know you folks will give them a fantastic welcome. Here comes trouble ...... Also on the bill will be Belfast's United Bottles. No stranger at all to Dublin. They played quiet a few shows in the city over 2018 and I expect to see plenty more of them in 2019. Also fantastic live note perfect. Should be a few new tunes in the air this night too.  As usual I ask you all to help us beat Facefeckers algorithms share the event & invite your mates. This is our scene everyone is welcome let's make it work. Save live music & support the venues that support us .SHARE ! SHARE ! SHARE ! See ya in the basement folks up the front & at the bar !  https://www.facebook.com/events/2337472632961149/,Europe/Dublin
Dolans Pub,Dolans Pub,Therapy? presented by Seoda Shows and Bad Reputation,2019-03-22,21:00:00,2019-03-23,Presented by Seoda Shows and Bad Reputation Ireland Dolans are delighted to announce that Therapy? are returning to Dolans Warehouse Friday March 22nd 2019.  Tickets are on sale Thursday November 22nd at 9am.  €27 plus booking fee  Andy Cairns tells a great story about Therapy?’s spring UK tour with The Stranglers. As the trio walked onstage in Kilmarnock Scotland their frontman noticed a solitary punter three rows from the front vigorously booing his band before a single amplified guitar chord had been struck. Each successive song in the set received the same vociferous relentlessly hostile response. Two nights later at Nottingham Rock City the antagonist was back once more front and centre still booing though with markedly less enmity than before. In Manchester on the final night of the campaign Cairns stepped from his tour bus to be confronted again by the by-now-familiar face of his new nemesis. This time however the guy was clutching a pen and a copy of Therapy?’s classic 1994 album Troublegum. “Could you sign this for me please?” he asked politely. “I think we’d battered him into submission” Cairns says with a laugh. It’s an instructive anecdote both a testament to Therapy?’s enduring capacity to win over hearts and minds with their singular sui generis sound and a reminder in a broader sense that even in the face of alienation disaffection and discord there remains hope for consensus harmony and solidarity.  Which brings us neatly to Therapy?’s fifteenth studio album Cleave. Roughly themed around notions of duality and division the band’s follow-up to 2015’s acclaimed Disquiet - and their first recording for new label Marshall Records – is a sharply focused fiercely intelligent impassioned and empowering set of songs from a band operating at a creative and artistic peak. A scathing incisive state-of-the-nation address investigating the schisms in contemporary society and the motivations of those seeking to propagate disjuncture it’s a powerful challenging uncompromising collection from a band never afraid to confront and dissect humanity’s darkest impulses.  From the thrillingly propulsive assault of Wreck It Like Beckett via the addictive Callow (the album's first single out now) and the unsettling I Stand Alone to the disquieting bleakly beautiful No Sunshine the ten tracks which make up Cleave coalesce to paint a portrait of a fractured dislocated world rent by unprincipled mendacious masters. “We’re living in a time riven by conflict” Andy Cairns states baldly. “You look at what’s happening in the United States at present what’s going on with Brexit in the UK with North and South Korea with Palestine and Israel and it’s impossible not to see turmoil and turbulence. Some of these conflicts have been going on as long as I can remember but they seemed to really reach a head again around the time we were writing the album. Cleave is our response to the divisions we see all around us.”  It’s worth considering Therapy?’s journey to this point. Their story begins in Northern Ireland in 1989 when vocalist/guitarist Cairns bassist Michael McKeegan and drummer Fyfe Ewing – bonded by a deep appreciation of post-punk art-rock Detroit techno and the most uncompromising sounds from the fringes of the US noise rock underground – embarked upon a mission to investigate the psyches of the marginalised malcontent and misanthropic. The 1990 release of a self-financed seven inch single (Meat Abstract) on the band’s own Multifuckingnational Records label was followed by the recording of a brace of bold abrasive mini albums 1991's Babyteeth and 1992's Pleasure Death for London-based Wiiija record both collections securing Number 1 slots on the UK’s Independent music charts. Such success did not go unnoticed by the nation’s major labels and the in-demand trio elected to partner next with A&M Records for whom they promptly delivered a Top 30 single (Teethgrinder) and Top 40 album (Nurse) in 1993. On a creative roll in 1994 Therapy? truly hit their stride with the electrifying exhilarating punk-metal crossover set Troublegum which served up no fewer than five UK Top 40 singles (Turn Nowhere Die Laughing Trigger Inside and Screamager the opening track from 1993 EP Shortsharpshock) sold one million copies worldwide and garnered the fast-rising band a Mercury Music Prize nomination. Unwilling to dilute their vision in pursuit of mainstream acceptance the band spent much of the two decades which followed re-writing the rule book for what constitutes success for a modern rock act issuing a succession of fiercely idiosyncratic albums aided and abetted by the recruitment in 2002 of drummer Neil Cooper. To the delight of their loyal fan-base in 2015 the trio conceived a sequel of sorts to Troublegum in Disquiet a brilliantly-realised bruisingly melodic punk/metal collection which took as its starting point questions of where the adolescent protagonist of their 1994 masterpiece might find himself 20 years on. Stepping away from that fascinating narrative Cleave continues along a similar sonic path alluding to the band’s ‘classic’ sound while opening up new paths to explore.  “The way I’ve described Cleave to people who’ve been asking is that it’s kinda like Nurse and Pleasure Death-era Therapy? meets Troublegum but with a totally modern 21st century production” says Cairns of the 10 song collection committed to tape by producer Chris Sheldon at Blast studios in Newcastle-upon-Tyne in January this year. “I think we’ve become a lot more comfortable about doing what we do best. Around the time of [2009’s] Crooked Timber and [2010’s] A Brief Crack Of Light I was still trying to prove a point to people that I listen to a lot of different music and trying to illustrate that in the music we were writing. But when we did Disquiet and saw the reaction we got from people who love guitar music and love our band it made me realise that there’s certain things we do so well certain things that are so characteristic of Therapy? so we decided to focus on these things. We never want to be a template band writing the same song forever but we did definitely try to play to our strengths.”  Cairns credits producer Sheldon who worked with the band on Troublegum 1998’s Semi-Detached and 2003’s High Anxiety for keeping the band fixated upon delivering their new material with maximum impact streamlining arrangements and stripping away extraneous fat setting aside ego in service of the songs. “We know we can trust Chris” says Cairns simply. “He has a great history with the band and no agenda. It’s not like he’s looking to make hit singles but he also wants the band to be at their maximum ability and he’s very good at pointing out problems without offending you! In pre-production we shortened a lot of the songs and got directly to the point. You can get into your own little bubble when you’re writing songs so it’s great to have someone objective come in and challenge you to re-think things.” The result is one of the most formidable provocative and impactful albums of Therapy?’s storied 29 year career once again proving that the band’s pre-eminence as one of the UK’s most inventive fearless and individualistic musical artists. Andy Cairns offers a detailed dissection of the album in the track-by-track breakdown that follows but taking a broader view of his band’s fifteenth studio set he’s justifiably proud of the unified drive and restless creativity evident in this powerful questing collection. “I know that we can be a difficult sell because we have no particular niche and no desire to conform” he admits “but Therapy? have always the kind of band that when people discover us they immerse themselves deep and keep us close to their hearts. We’ve never been part of a trend so we’ve never been cast aside when fashions changed. Cleave to me is Therapy? at our most focused. I love our more experimental side but I also love that this record sounds like it was made by a band who’re all reading from the same script and moving forward with the same determination and hunger.”  https://www.facebook.com/events/359050538197140/,Europe/Dublin
